benchmark_name,run_id,cell_index,try_number,category,elapsed_seconds
retail-supermarket-store-analysis,1774803956-d29805e1,0,,original_execution,9.091961
retail-supermarket-store-analysis,1774803956-d29805e1,0,0,agent_call,8.951012
retail-supermarket-store-analysis,1774803956-d29805e1,1,,original_execution,12.026014
retail-supermarket-store-analysis,1774803956-d29805e1,1,0,agent_call,0.879022
retail-supermarket-store-analysis,1774803956-d29805e1,2,,original_execution,9.447219
retail-supermarket-store-analysis,1774803956-d29805e1,2,0,agent_call,1.368548
retail-supermarket-store-analysis,1774803956-d29805e1,3,,original_execution,11.027327
retail-supermarket-store-analysis,1774803956-d29805e1,3,0,agent_call,13.965463
retail-supermarket-store-analysis,1774803956-d29805e1,4,,original_execution,9.173246
retail-supermarket-store-analysis,1774803956-d29805e1,4,0,agent_call,1.250559
retail-supermarket-store-analysis,1774803956-d29805e1,5,,original_execution,9.466148
retail-supermarket-store-analysis,1774803956-d29805e1,5,0,agent_call,7.876512
retail-supermarket-store-analysis,1774803956-d29805e1,5,0,rewrite_execution,9.513715
retail-supermarket-store-analysis,1774803956-d29805e1,5,0,cudf_profiling,5.755218
retail-supermarket-store-analysis,1774803956-d29805e1,5,1,agent_call,7.555088
retail-supermarket-store-analysis,1774803956-d29805e1,6,,original_execution,8.944511
retail-supermarket-store-analysis,1774803956-d29805e1,6,0,agent_call,0.769678
retail-supermarket-store-analysis,1774803956-d29805e1,7,,original_execution,9.127157
retail-supermarket-store-analysis,1774803956-d29805e1,7,0,agent_call,24.440635
retail-supermarket-store-analysis,1774803956-d29805e1,7,1,agent_call,50.698473
retail-supermarket-store-analysis,1774803956-d29805e1,7,2,agent_call,16.013896
retail-supermarket-store-analysis,1774803956-d29805e1,7,3,agent_call,11.686662
retail-supermarket-store-analysis,1774803956-d29805e1,7,4,agent_call,18.418615
retail-supermarket-store-analysis,1774803956-d29805e1,7,4,rewrite_execution,30.897462
retail-supermarket-store-analysis,1774803956-d29805e1,7,4,cudf_profiling,78.254146
retail-supermarket-store-analysis,1774803956-d29805e1,8,,original_execution,9.267973
retail-supermarket-store-analysis,1774803956-d29805e1,8,0,agent_call,9.314068
retail-supermarket-store-analysis,1774803956-d29805e1,9,,original_execution,9.173903
retail-supermarket-store-analysis,1774803956-d29805e1,9,0,agent_call,6.058003
retail-supermarket-store-analysis,1774803956-d29805e1,10,,original_execution,9.274242
retail-supermarket-store-analysis,1774803956-d29805e1,10,0,agent_call,3.173615
retail-supermarket-store-analysis,1774803956-d29805e1,11,,original_execution,9.008612
retail-supermarket-store-analysis,1774803956-d29805e1,11,0,agent_call,4.134943
retail-supermarket-store-analysis,1774803956-d29805e1,12,,original_execution,9.163723
retail-supermarket-store-analysis,1774803956-d29805e1,12,0,agent_call,15.466711
retail-supermarket-store-analysis,1774803956-d29805e1,12,0,rewrite_execution,8.855351
retail-supermarket-store-analysis,1774803956-d29805e1,12,0,cudf_profiling,5.865718
retail-supermarket-store-analysis,1774803956-d29805e1,12,1,agent_call,5.277154
retail-supermarket-store-analysis,1774803956-d29805e1,13,,original_execution,9.038123
retail-supermarket-store-analysis,1774803956-d29805e1,13,0,agent_call,0.794596
retail-supermarket-store-analysis,1774803956-d29805e1,14,,original_execution,9.291831
retail-supermarket-store-analysis,1774803956-d29805e1,14,0,agent_call,37.139160
retail-supermarket-store-analysis,1774803956-d29805e1,14,1,agent_call,10.485017
retail-supermarket-store-analysis,1774803956-d29805e1,14,1,rewrite_execution,8.714107
retail-supermarket-store-analysis,1774803956-d29805e1,14,1,cudf_profiling,8.020477
retail-supermarket-store-analysis,1774803956-d29805e1,14,2,agent_call,6.110241
retail-supermarket-store-analysis,1774803956-d29805e1,15,,original_execution,9.273167
retail-supermarket-store-analysis,1774803956-d29805e1,15,0,agent_call,4.253887
